row 1,row 2,row 3,row 4,row 5,row 6,row 7,row 8,row 9,row 10
14.Sep.B01.01,1,9,0.2,10.4,0.2,36.8,0.3,3400,200
14.Sep.B01.02,2,9.1,0.6,10.5,1,36.8,0.8,3500,400
14.Sep.B01.03,3,8.9,0.1,10.1,0.3,36.5,0.3,3281,0.44
14.Sep.B01.04,4,9,0.5,10.4,0.5,36.9,0.5,3400,0.9
14.Sep.B01.05,5,8.9,0.1,10.4,0.1,37,0.1,3400,51
14.Sep.B01.06,6,9,0.3,10.4,0.3,36.7,0.5,3435,158.5
14.Sep.B01.07,7,9.1,0.2,10.5,0.2,36.9,0.2,3510,100
14.Sep.B01.08,8,9,0.25,10,0.25,36.5,0.5,3285,129.4
14.Sep.B01.09,8,9.1,0.1,10.5,0.3,36.6,0.2,3500,0.37
14.Sep.B01.10,9,9,0.5,10,0.5,36.8,0.5,3312,252
14.Sep.B01.11,10,9.2,0.2,10.5,0.3,36.8,0.2,3554,129
14.Sep.B02.01,2,9,0.5,10.5,0.5,37,0.5,3496.5,260.2
14.Sep.B02.02,6,9,0.2,10.3,0.2,35.6,0.2,3300.12,99.137
14.Sep.B02.03,4,9,0.5,10.5,0.5,37,0.5,3496.5,260
14.Sep.B02.04,5,9,0.3,10.5,0.3,37,0.3,3500,200
14.Sep.B02.05,8,9,1,11,1,37,1,3663,839
14.Sep.B02.06,1,9,0.4,10.5,0.4,32,0.4,3024,181.5
14.Sep.B02.07,7,9.1,0.25,10.4,0.25,36.9,0.25,3490,130
14.Sep.B02.08,3,9,0.2,10.3,0.2,36.8,0.3,3411.36,0.2
14.Sep.B02.09,10,8.87,0.05,10.05,0.05,36.65,0.11,3267,26.4
14.Sep.B02.10,10,8.9,0.34,10.1,0.34,36.6,0.34,3289.97,170.284
14.Sep.B02.11,9,9,0.1,10,0.1,36.5,0.2,3285,52.3
14.Sep.B02.12,5,9,0.05,10,0.15,37,0.1,3330,54.021
14.Sep.B02.13,4,9,1,10,1,37,1,3330,500
14.Sep.B02.14,8,9,0.5,10.5,0.5,36.5,0.5,3449,550
14.Sep.B03.01,8,9,0.04,10.6,0.06,36.8,0.04,3490,20
14.Sep.B03.02,8,9,0.3,10.5,0.3,36.6,1.1,3500,200
14.Sep.B03.03,10,8.43,0.212,9.5,0.224,36.23,0.309,2901.48,126
14.Sep.B03.04,6,9.125,0.139,10.475,0.315,36.7,0.27,3507.946,120
14.Sep.B03.05,1,9,0.03,10.1,0.11,36.9,0.04,3354,90
14.Sep.B03.06,7,9.2,0.03,10.8,0.04,37,0.03,3678,46
14.Sep.B03.07,3,8.92143,0.2,10.1643,0.4,36.507,0.5,3310.65,159.9
14.Sep.B03.08,1,8.97,0.03,10.37,0.03,36.86,0.05,3428.677,118
14.Sep.B03.09,9,9,0,10,0,36.4,0.3,3276,54
14.Sep.B03.10,9,9,0.3,10.2,0.3,36.8,0.25,3378.4,159.1
14.Sep.B03.11,10,9,0.3,10.3,0.3,36.8,0.3,3410,130
14.Sep.B03.12,2,9,1,10.3,1.17,36.8,1.12,3410,400
14.Sep.B03.13,3,9.1,0.3,10.4,0.3,37,0.5,3500,170
14.Sep.B03.14,4,9.07,0.3,10.4,0.3,36.8,0.3,3470,150
14.Sep.B03.15,5,8.8,0.3,10.4,0.4,36.8,0.3,3368,175
14.Sep.B03.16,7,9.03,0.1,10.48,0.1,36.88,0.3,3486,58
14.Sep.B04.01,5,8.7,0.33,10.3,0.33,36.6,0.33,3280,5
14.Sep.B04.02,8,9,0.3,10,0.3,36,0.5,3240,189.7
14.Sep.B04.03,9,9,0.1,10,0.1,36.5,0.1,3280,48.9
14.Sep.B04.04,1,9,0.1,10.3,0.2,36.9,0.2,3421,120
14.Sep.B04.05,2,9,0.5,10.5,0.5,37,0.5,3496.5,260
14.Sep.B04.06,4,9,1,10,1,37,1,3330,506
14.Sep.B04.07,7,9,1,10,1,37,1,3330,506
14.Sep.B04.08,10,9,0.2,10.5,0.5,36.5,0.5,3950,190
15.Feb.B01.01,1,9,0.5,10.2,0.5,36.7,0.5,3320,250
15.Feb.B01.02,2,9,1,10,1,37,1,3300,500
15.Feb.B01.03,3,9,0.5,10,0.5,36,0.5,3200,350
15.Feb.B01.04,4,9,0.2,10,0.5,37,0.2,3300,200
15.Feb.B01.05,5,9,0.5,10.5,0.5,37,0.5,3496,0.87
15.Feb.B01.06,6,9.1,0.2,10.6,0.2,36.7,0.2,3540,160
15.Feb.B01.07,7,9,0.1,10.2,0.1,36.9,0.1,3400,500
15.Feb.B01.08,8,9.1,0.1,10.3,0.1,36.9,0.1,3460,80
15.Feb.B01.09,8,9,0.05,10.15,0.05,36.75,0.1,3360,30
15.Feb.B01.10,9,9,0.5,10,0.5,32,0.5,2900,200
15.Sep.B01.01,2,9.1,0.5,11,0.5,36.5,0.5,3650,410
15.Sep.B01.02,2,9,0.25,10.5,0.25,37,0.25,3496.5,204
15.Sep.B01.03,1,9.5,0.5,11.9,0.3,36.5,0.5,4130,50
15.Sep.B01.04,2,9.1,0.3,10.4,0.3,37,0.3,3500,150
15.Sep.B01.05,1,9,1.4,10.4,1.4,36.8,1.4,3423,72
15.Sep.B01.06,1,9,0.5,10.5,0.5,37.1,0.5,3510,410
15.Sep.B01.07,2,9.1,0.1,10.7,0.2,36.7,0.2,3570,30
15.Sep.B01.08,2,9.1,0.5,10.7,0.5,36.9,0.5,3600,260
15.Sep.B01.09,2,9,0.3,11.1,1,36,1,3564,363
15.Sep.B01.10,1,9,0.5,10,0.5,36.5,0.5,3285,250
15.Sep.B01.11,1,9,0.3,10,0.3,37,0.5,3330,156
15.Sep.B01.12,2,9,0.5,10.5,0.5,36.5,0.5,3450,400
15.Sep.B01.13,2,9,0.5,10.5,0.5,37,0.5,3500,140
15.Sep.B01.14,2,9,0.5,10,0.5,36.5,0.5,3290,240
15.Sep.B02.01,1,9.1,0.2,10.5,0.2,36.7,0.2,3510,100
15.Sep.B02.02,2,9.5,0.5,10.5,0.5,37,0.5,3690,270
15.Sep.B02.03,2,9,0.3,10.5,0.3,37,0.3,3500,160
15.Sep.B02.04,3,9,0.2,10.1,0.2,36.7,0.2,3340,100
15.Sep.B02.05,3,8.9,0.1,10,0.1,36.6,0.1,3260,50
15.Sep.B02.06,4,9.2,0.1,10,0.02,36.4,0.4,3400,480
15.Sep.B02.07,5,8.9,0.1,10,0.1,36.5,0.5,3250,70
15.Sep.B02.08,6,9,0.3,10.5,0.3,37,0.3,3500,160
15.Sep.B02.09,6,9,0.5,11,0.5,37,0.5,3660,270
15.Sep.B02.10,7,8.9,0.5,10.5,0.5,36.2,0.5,3380,250
15.Sep.B02.11,7,9,0.5,11,0.5,37,0.5,3660,420
15.Sep.B02.12,8,8,0.5,10,0.5,36,0.5,2880,1700
15.Sep.B02.13,9,9,0.1,10.2,0.1,35.1,0.1,3220,50
15.Sep.B02.14,9,9,0.5,10,0.5,37,0.5,3330,400
15.Sep.B03.01,5,9,0.3,10.5,0.3,36.6,0.3,3460,150
15.Sep.B03.02,9,9,0.5,11,0.5,37,0.5,3663,258
15.Sep.B03.03,10,9.1,0.5,10.4,0.5,36.8,0.5,3480,260
15.Sep.B03.04,9,8.8,0.15,10.3,0.15,36.6,0.15,3320,80
15.Sep.B03.05,3,8.9,0.5,10.3,0.5,36.6,0.5,3400,250
15.Sep.B03.06,6,9,1,10,1,36,0.1,3200,390
15.Sep.B03.07,10,9,0.5,10,0.5,37,0.5,3330,250
15.Sep.B03.08,8,9,0.4,10.7,0.4,37,0.6,3600,140
15.Sep.B03.09,7,9,0.5,10,0.5,37,0.5,3300,130
15.Sep.B03.10,9,9,0.3,10,0.3,36.6,0.3,3330,0.52
15.Sep.B04.01,10,9,0.5,10,0.5,37,0.5,3330,392.7
15.Sep.B04.02,6,9,1,10,1,37,1,3300,300
15.Sep.B04.03,5,9.1,0.5,10.5,0.5,36.8,0.5,3520,260
15.Sep.B04.04,7,9.2,0.5,10.3,0.5,37,0.5,3500,260
15.Sep.B04.05,4,9,0.1,10.4,0.1,36.9,0.1,3450,50
15.Sep.B04.06,8,9,0.05,10.3,0.17,37.18,0.09,3440,60
16.Feb.B01.01,7,9,0.05,10,0.1,36.5,0.05,3285,37.85
16.Feb.B01.02,7,9,0.1,10,0.1,37,0.5,3330,70
16.Feb.B01.03,8,9,1,10,1,37,1,3330,1.732050808
16.Feb.B01.04,3,8.8,0.1,10.2,0.1,36.6,0.1,3309.9,39
16.Feb.B01.05,9,9,0.1,10,0.2,36.7,0.3,3303,80.24845
16.Feb.B01.06,4,9,0.1,10,0.1,37,0.1,3330,50.6
16.Feb.B01.07,3,8.8,0.2,10,0.2,36.6,0.2,3220.8,99.8
16.Feb.B01.08,1,9,1,11,1,37,1,3663,0.15
16.Feb.B01.09,2,9,0.3,11,0.2,37,0.5,3700,90
16.Feb.B01.10,4,9.1,0.2,10.2,0.2,32,0.2,2970.24,139.6
16.Feb.B01.11,5,9,0.1,10,0.1,37,0.1,3330,0.3
16.Sep.B01.01,5,9,0.5,10.2,0.5,36.8,0.5,3378.2,0.87
16.Sep.B01.02,3,9,0,10,0.1,37,0.06,3400,0.164
16.Sep.B01.03,4,9.02,0.02,10.16,0.02,36.72,0.05,3365.14,11.8
16.Sep.B01.04,6,9.1,0.4,10.3,0.4,36.8,0.4,3449,206
16.Sep.B01.05,2,9.2,0.1,10.4,0.1,36.9,0.1,3530,115
16.Sep.B01.06,1,8.8,0.2,10.5,0.3,37.1,0.3,3400,130
16.Sep.B01.07,8,9,0.05,10.4,0.25,36.8,0.15,3444.48,0.3
16.Sep.B03.01,9,9,0.25,10,0.25,36.75,0.25,3308,126.3
16.Sep.B03.02,2,9,0.5,10,0.5,37,0.5,3330,252.9
16.Sep.B03.03,1,9,1,10.8,1.4,37,1,3596.4,611.4
16.Sep.B03.04,10,9,0.67,10.5,0.67,36.8,0.67,3411,339
16.Sep.B03.05,8,9,0.5,10.5,0.5,36,0.5,3400,300
16.Sep.B03.06,7,9,0.5,10.5,0.5,37,0.5,3500,300
16.Sep.B03.07,6,9,0.5,10,0.5,36.9,0.5,3320,250
16.Sep.B03.08,5,9,0.1,10.5,0.3,36.9,0.1,3500,100
16.Sep.B03.09,4,9,0.5,10,0.5,37,0.5,3330,253
16.Sep.B03.10,3,9,0.5,10,0.5,37,0.5,3330,252.9
16.Sep.B02.01,1,9.1,0.1,10.6,0.1,36.9,0.1,3560,1.4
16.Sep.B02.02,1,9,0.7,10.2,0.8,36.7,0.9,3370,380
16.Sep.B02.03,2,9.1,0.2,10.3,0.2,36.9,0.2,3460,100
16.Sep.B02.04,2,9.1,0.1,10.3,0.1,36.9,0.1,3458.64,51.6
16.Sep.B02.05,3,9.2,0.2,10.3,0.2,36.8,0.2,3490,104
16.Sep.B02.06,4,9,0.5,10,0.5,37,0.5,3330,252.9
16.Sep.B02.07,4,9,0.5,10.5,0.5,37,0.5,3496.5,260
16.Sep.B02.08,5,9,1,10,1,37,1,3330,506
16.Sep.B02.09,6,8,0.5,10,0.5,36,0.5,2900,234
16.Sep.B02.10,6,9,0.5,10,1,37,0.5,3300,380
16.Sep.B02.11,7,9.5,0.5,11.5,0.5,31.5,0.5,3441.38,238.301
16.Sep.B02.12,8,9.1,0.2,10.5,0.2,36.8,0.2,3500,100
16.Sep.B02.13,9,9.1,0.3,12.1,0.3,36.7,0.3,4041,169.9
16.Sep.B02.14,10,9,0.2,10,0.2,37,0.5,3330,0.58
16.Sep.B04.01,4,9.03,0.3,10.15,0.3,36.78,0.3,3371,152.64
16.Sep.B04.02,9,9,1,10,1,36,1,3240,491
16.Sep.B04.03,6,9,0.5,10.1,0.5,36.7,0.5,3300,200
16.Sep.B04.04,8,9.1,0.2,10.4,0.2,37,0.2,3501,296
16.Sep.B04.05,1,9,0.25,10.5,0.25,37,0.25,3496.5,188.1
16.Sep.B04.06,5,8.9,0.2,10.3,0.2,36.5,0.5,3345.9,99.07
16.Sep.B04.07,3,9.2,0.2,10.5,0.2,36.8,0.2,3550,163
16.Sep.B04.08,7,9.2,0.3,10.4,0.3,36.7,0.3,3511,244
16.Sep.B04.09,2,9.3,0.05,10.5,0.05,37,0.05,3613.1,0.087
16.Sep.B04.10,10,9,0.3,10,0.3,36.7,0.4,3303,152.4
16.Sep.B04.11,8,9.1,0.25,10.5,0.25,36.6,0.25,3497,129
16.Sep.B04.12,6,8.9,0.2,10.1,0.1,36.6,0.3,3290,134
16.Sep.B04.13,10,9,1,10,1,37,1,3330,506
17.Feb.B01.01,7,9,0.5,10,0.5,36,0.5,324,0.6
17.Feb.B01.02,1,9,0.5,10,0.5,36.5,0.5,3300,300
17.Feb.B01.03,6,8.9,0.3,10,0.3,36.5,0.3,3248,7
17.Feb.B01.04,2,9,0.5,10.5,0.5,36.5,0.5,3449.25,257
17.Feb.B01.05,3,9,0.2,10.5,0.3,36.7,0.4,3470,130
17.Feb.B01.06,9,9,0.1,10,0.1,37,0.1,3330,51
17.Feb.B01.07,8,9,0.5,10,0.5,37,0.5,3300,28
17.Feb.B01.08,5,9,0.5,10.2,0.5,36.5,0.5,3350.7,252.5
17.Feb.B01.09,10,9.2,0.1,10.4,0.1,36.8,0.1,3521.024,0.1
17.Feb.B01.10,2,8.9,0.2,10.5,0.2,36.8,0.2,3400,160
17.Feb.B01.11,3,9,0,10,0,36,0.61,3200,0.6
17.Feb.B01.12,4,9.5,0.5,10.5,0.5,37.5,0.5,3740.7,0.9
17.Feb.B02.01,1,9,0.5,10,0.5,37,0.5,3000,200
17.Feb.B02.02,2,9,1,11,1,37,1,4000,0
17.Feb.B02.03,3,9,1,10,1,36,1,3200,492
17.Feb.B02.04,4,9.5,0.5,10.5,0.5,37,0.5,3600,300
17.Feb.B03.01,9,9,0.3,10,0.3,37,0.3,3300,152
17.Feb.B03.02,7,9,0.25,10,0.25,37,0.25,3330,23.3
17.Feb.B03.03,5,9,0.5,10,0.5,37,0.5,3300,410.6
17.Sep.B01.01,3,9.1,0.3,10.2,0.3,36.5,0.3,3387.9,239.18
17.Sep.B01.02,6,9,0.1,10.3,0.2,36.8,0.5,3411,100
17.Sep.B01.03,8,9,0.4,10,0.4,37,0.2,3330,199.926
17.Sep.B01.04,2,9,0.5,10,0.5,37,0.5,3330,253
17.Sep.B01.05,10,9,0.1,10.1,0.1,36.6,0.2,3327,18
17.Sep.B01.06,4,9.1,0.4,10.2,0.4,36.6,0.4,3400,300
